scorer,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas
bodyparts,reye,reye,leye,leye,frleg,frleg,flleg,flleg,brleg,brleg,blleg,blleg,tailbase,tailbase,midtail,midtail,centerbody,centerbody
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\Lion9\img018.png,741.8205623551114,440.9726923748037,792.0735723010196,431.9989405987487,,,904.2454695017077,434.6910661315652,,,982.3171099533865,367.3879278111524,,,1028.0832440112672,476.8676994790239,897.0664680808636,263.2924072089139
labeled-data\Lion9\img058.png,856.6845850886159,357.5168008574919,915.0139716329736,358.4141760350974,827.9685794052398,417.6409377570606,937.4483510731113,440.0753171971982,,,1017.3147418800013,350.33779943664786,,,1072.9520028915424,451.7411945060698,,
labeled-data\Lion9\img081.png,759.7680659072214,387.1301817184735,822.5843283396068,375.46430440960194,,,939.2431014283222,402.38555973776704,,,1014.6226163471847,351.2351746142533,,,1070.2598773587258,439.1779420195927,944.6273524939554,231.8842759927213
labeled-data\Lion9\img094.png,854.889834733405,394.30918313931755,915.0139716329736,405.0776852705836,807.3289503203132,406.8724356257946,,,,,1008.3409901039461,336.8771717725653,,,1066.6703766483038,430.2041902435377,,
labeled-data\Lion9\img106.png,867.453087219882,430.2041902435377,916.8087219881847,451.7411945060698,793.8683226562307,400.5908093825561,,,,,,,,,,,923.9877234090288,176.2470149811801
labeled-data\Lion9\img129.png,743.6153127103223,330.5955455293267,818.0974524515793,349.44042425904235,700.5413041852582,317.1349178652442,,,,,950.9089787371938,238.16590223595983,,,,,873.7347134631204,70.35674402373058
labeled-data\Lion9\img132.png,726.5651843358178,327.00604481890474,789.3814467682032,331.49292070693224,696.0544282972307,319.8270433980607,,,,,1000.2646135054965,198.6813944213177,,,947.3194780267718,234.5764015255378,859.3767106214325,52.40924047162059
labeled-data\Lion9\img146.png,,,644.0066679961114,284.82941147144606,,,955.3958546252213,219.32102350624427,,,1190.5081511578635,187.91289229005167,,,1117.8207617718176,195.09189371089565,,
labeled-data\Lion9\img167.png,,,543.5006481042949,326.10866964129923,,,864.7609616870654,440.9726923748037,,,,,,,,,,
labeled-data\Lion9\img171.png,,,581.1904055637262,317.1349178652442,,,870.1452127526984,419.43568811227163,,,,,,,,,,
labeled-data\Lion9\img185.png,,,611.7011616023133,198.6813944213177,,,880.0163397063591,346.7482987262258,,,,,,,,,,
labeled-data\Lion9\img191.png,,,691.5675524092032,163.68376249470305,,,953.6011042700104,318.0322930428497,,,,,,,,,,
labeled-data\Lion9\img195.png,,,729.2573098686344,153.81263554104248,,,1029.877994366478,290.21366253707913,,,,,,,,,,
labeled-data\Lion9\img202.png,,,783.0998205249646,238.16590223595983,,,1148.3315178104046,187.0155171124461,,,,,,,,,,
labeled-data\Lion9\img224.png,633.2381658648455,543.2734626218312,751.6916893087719,563.9130917067578,,,1153.7157688760378,180.73389086920758,,,,,,,,,940.1404766059277,3.950980880923339
labeled-data\Lion9\img234.png,595.5484084054142,550.4524640426753,706.8229304284966,585.4500959692898,,,1083.7205050228085,196.88664406610667,,,,,,,,,937.4483510731113,3.950980880923339
labeled-data\Lion9\img240.png,,,674.5174240346987,553.1445895754918,,,1076.5415036019645,190.60501782286815,,,,,,,,,,
labeled-data\Lion9\img253.png,,,616.1880374903408,575.5789690156294,,,1071.1572525363313,153.81263554104248,,,1212.0451554203955,164.5811376723085,,,,,841.4292070693223,17.411608545005947
labeled-data\Lion9\img267.png,,,559.653401301194,558.5288406411248,,,1018.2121170576067,159.19688660667555,,,1217.4294064860285,223.80789939427177,,,,,741.8205623551114,14.719483012189357
labeled-data\Lion9\img284.png,,,537.2190218610565,547.7603385098587,,,1110.6417603509735,165.47851284991407,,,1239.8637859261662,186.11814193484065,,,,,861.1714609766434,23.693234788244467
