scorer,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas
bodyparts,reye,reye,leye,leye,frleg,frleg,flleg,flleg,brleg,brleg,blleg,blleg,tailbase,tailbase,midtail,midtail,centerbody,centerbody
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\Lion8_Trim\img0001.png,253.1802851658898,122.76185906224293,288.27762544557174,128.02646010419522,,,319.4265149437895,258.76405264601044,,,461.5707430765014,259.64148615300246,471.66122840690997,228.49259665478473,508.07471894707993,248.23485056210583,359.3497395119277,162.2463668768851
labeled-data\Lion8_Trim\img0023.png,288.27762544557174,113.54880723882644,323.81368247874974,121.88442555525086,,,319.86523169728554,253.93816835755416,,,465.0804771044696,256.5704688785303,472.538661913902,221.47312859884835,509.39086920756796,246.47998354812174,366.36920756786407,158.29791609542087
labeled-data\Lion8_Trim\img0035.png,294.8583767480121,112.67137373183436,326.8846997532219,121.88442555525086,,,312.84576364134915,250.42843432958597,,,457.1835755415411,251.305867836578,463.76432684398145,217.52467781738414,506.3198519330959,242.5315327666575,362.8594735398959,156.54304908143678
labeled-data\Lion8_Trim\img0044.png,285.6453249245956,110.03907321085825,315.03934740882926,120.12955854126682,,,299.2455442829724,248.23485056210583,,,445.7769399506445,250.42843432958597,449.28667397861267,216.6472443103921,497.10680010967934,240.7766657526734,348.8205374280231,156.10433232794077
labeled-data\Lion8_Trim\img0053.png,275.55483959418706,109.16163970386617,304.9488620784207,120.12955854126682,,,289.1550589525638,246.91870030161778,,,434.8090211132439,246.91870030161778,440.95105566218825,216.20852755689606,483.9452975047986,238.1443652316973,337.8526185906225,155.22689882094872
labeled-data\Lion8_Trim\img0056.png,271.16767205922685,107.40677268988208,301.0004112969565,117.49725802029064,,,287.4001919385797,245.60255004112966,,,431.2992870852757,247.35741705511379,438.3187551412121,217.52467781738414,478.68069646284636,236.8282149712092,333.9041678091583,154.34946531395667
labeled-data\Lion8_Trim\img0070.png,259.7610364683302,106.09062242939405,,,,,275.99355634768307,242.5315327666575,,,420.7700850013711,244.72511653413764,425.59596928982734,212.69879352892787,466.83534411845363,233.318480943241,315.47806416232527,146.45256375102824
labeled-data\Lion8_Trim\img0093.png,286.9614751850837,121.00699204825884,,,,,303.1939950644366,254.37688511105017,,,448.40924047162065,256.13175212503427,455.86742528105304,223.22799561283244,494.9132163421992,244.2863997806416,344.4333698930629,156.54304908143678
labeled-data\Lion8_Trim\img0111.png,279.9420071291473,114.86495749931447,318.1103646833014,126.27159309021113,,,311.9683301343571,257.88661913901836,,,457.1835755415412,259.20276939950645,467.27406087194964,226.73772964080064,509.39086920756796,249.11228406909788,349.2592541815191,159.17534960241295
labeled-data\Lion8_Trim\img0128.png,253.1802851658898,115.74239100630655,290.9099259665479,124.07800932273102,,,335.22031806964634,264.0286536879627,,,480.8742802303264,266.22223745544284,490.964765560735,237.26693172470522,523.8685220729369,254.37688511105017,364.61434055388,162.68508363038114
labeled-data\Lion8_Trim\img0139.png,,,291.348642720044,123.63929256923501,,,351.4528379489993,265.7835207019468,,,498.42295037016737,267.97710446942693,505.00370167260775,241.6540992596655,541.4171922127778,257.88661913901836,377.33712640526466,166.19481765834934
labeled-data\Lion8_Trim\img0155.png,264.58692075678647,130.6587606251714,301.0004112969565,138.9943789415958,,,371.1950918563204,267.97710446942693,,,517.7264875239925,270.60940499040305,522.9910885659447,235.51206471072112,564.230463394571,260.95763641349055,400.15039758705797,169.2658349328215
labeled-data\Lion8_Trim\img0160.png,253.61900191938588,124.51672607622703,292.226076227036,128.46517685769123,,,364.175623800384,252.62201809706607,,,513.3393199890322,249.98971757608993,520.3587880449686,226.73772964080064,557.2109953386346,248.23485056210583,399.27296408006595,155.22689882094872
labeled-data\Lion8_Trim\img0168.png,239.58006580751305,123.20057581573894,276.43227310117913,126.27159309021113,,,357.59487249794364,241.21538250616945,,,515.0941870030163,239.8992322456814,513.7780367425282,204.80189196599946,556.3335618316426,233.75719769673702,391.81477927063355,142.06539621606794
labeled-data\Lion8_Trim\img0171.png,234.31546476556076,130.6587606251714,267.65793803125865,131.97491088565943,,,354.96257197696735,242.5315327666575,,,511.1457362215521,242.97024952015354,514.2167534960242,215.76981080340005,550.6302440361942,235.95078146421716,384.79531121469716,141.18796270907598
labeled-data\Lion8_Trim\img0186.png,,,246.59953386344944,145.5751302440362,,,355.8400054839595,241.21538250616945,,,510.7070194680561,241.21538250616945,519.4813545379766,220.59569509185633,557.2109953386346,232.879764189745,400.589114340554,140.7492459555799
labeled-data\Lion8_Trim\img0195.png,,,297.4906772689883,147.7687140115163,,,405.4149986290102,235.07334795722514,,,564.230463394571,235.95078146421716,,,606.7859884836855,229.80874691527282,455.4287085275569,135.48464491362765
labeled-data\Lion8_Trim\img0204.png,,,323.81368247874974,142.504112969564,,,413.3119001919387,227.17644639429668,,,580.462983273924,226.29901288730463,,,621.7023581025503,217.52467781738414,473.85481217439,127.1490265972032
labeled-data\Lion8_Trim\img0209.png,,,329.9557170276941,138.5556621880998,,,412.8731834384427,226.29901288730463,,,573.8822319714836,222.35056210584042,,,617.753907321086,214.892377296408,483.06786399780646,124.51672607622703
labeled-data\Lion8_Trim\img0216.png,,,332.14930079517416,127.58774335069921,,,416.8216342199069,219.71826158486425,,,575.1983822319717,218.4021113243762,,,626.5282423910064,208.31162599396765,500.61653413764765,122.32314230874692
labeled-data\Lion8_Trim\img0224.png,,,327.32341650671793,111.35522347134628,,,405.8537153825063,215.76981080340005,,,573.0047984644916,212.69879352892787,,,629.5992596654787,204.36317521250342,493.59706608171115,117.05854126679463
labeled-data\Lion8_Trim\img0237.png,,,316.79421442281335,87.225802029065,,,409.8021661639705,207.43419248697558,,,567.3014806690433,203.48574170551137,,,614.6828900466139,197.34370715656704,477.8032629558542,108.28420619687415
labeled-data\Lion8_Trim\img0245.png,,,300.1229777899644,92.9291198245133,,,409.8021661639705,211.3826432684398,,,562.4755963805869,206.55675897998353,,,609.4182890046616,203.04702495201536,469.9063613929258,115.74239100630655
labeled-data\Lion8_Trim\img0275.png,,,263.2707704962984,106.52933918289006,,,415.50548395941877,224.10542911982452,,,567.7401974225393,223.22799561283244,,,616.876473814094,215.76981080340005,462.4481765834934,127.1490265972032
labeled-data\Lion8_Trim\img0284.png,,,258.0061694543461,105.21318892240197,,,417.69906772689893,221.03441184535234,,,569.0563476830273,221.47312859884835,,,615.1216068001099,214.45366054291196,468.5902111324378,127.1490265972032
labeled-data\Lion8_Trim\img0312.png,,,250.10926789141763,71.43199890320813,,,392.25349602412956,213.1375102824239,,,592.3083356183165,224.54414587332053,,,629.1605429119827,213.1375102824239,463.32561009048544,111.79394022484234
labeled-data\Lion8_Trim\img0324.png,,,273.36125582670695,70.11584864272004,,,401.905264601042,226.73772964080064,,,604.5924047162055,231.56361392925692,,,,,478.24197970935035,120.56827529476283
labeled-data\Lion8_Trim\img0334.png,,,312.84576364134915,84.59350150808882,,,433.05415409925973,245.16383328763368,,,629.5992596654787,250.86715108308198,,,,,500.61653413764753,140.7492459555799
