scorer,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas,thomas
bodyparts,reye,reye,leye,leye,frleg,frleg,flleg,flleg,brleg,brleg,blleg,blleg,tailbase,tailbase,midtail,midtail,centerbody,centerbody
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\lion11_Trim1\img009.png,,,157.26822642121476,160.9601897656314,,,,,,,,,,,,,,
labeled-data\lion11_Trim1\img013.png,,,157.26822642121476,157.69038196415545,159.44809828886537,338.6197469791583,283.7007947449517,340.7996188468089,,,,,,,,,,
labeled-data\lion11_Trim1\img018.png,,,139.82925148000965,156.6004460303302,142.0091233476603,342.97949071445964,265.17188386992126,333.17006731003175,,,,,,,,,,
labeled-data\lion11_Trim1\img025.png,,,134.37957181088308,153.33063822885424,138.73931554618434,348.4291703835862,264.08194793609596,334.2600032438571,,,,,,,,,,
labeled-data\lion11_Trim1\img037.png,,,132.19969994323242,158.7803178979808,147.45880301678687,347.33923444976085,260.81214013462,333.17006731003175,,,,,,,,,,
labeled-data\lion11_Trim1\img053.png,,,128.9298921417565,152.24070229502888,136.55944367853374,340.7996188468089,260.81214013462,338.6197469791583,,,,,,,,,,
labeled-data\lion11_Trim1\img058.png,,,128.9298921417565,156.6004460303302,137.64937961235904,346.2492985159356,267.3517557375719,338.61974697915844,,,,,,,,,,
labeled-data\lion11_Trim1\img065.png,,,126.75002027410584,153.33063822885424,135.46950774470838,335.34993917768236,268.4416916713972,338.6197469791583,,,,,,,,,,
labeled-data\lion11_Trim1\img071.png,,,126.75002027410584,159.87025383180605,137.64937961235904,344.0694266482849,261.90207606844535,338.6197469791583,,,,,,,,,,
labeled-data\lion11_Trim1\img083.png,,,115.85066093585267,155.51051009650485,125.66008434028053,351.6989781850622,255.36246046549343,340.7996188468089,,,,,,,,,,
labeled-data\lion11_Trim1\img087.png,,,116.94059686967798,155.51051009650485,119.12046873732861,345.15936258211025,252.09265266401746,333.17006731003175,,,,,,,,,,
labeled-data\lion11_Trim1\img091.png,,,110.40098126672608,156.6004460303302,108.22110939907544,346.2492985159356,245.55303706106554,340.7996188468089,,,,,,,,,,
labeled-data\lion11_Trim1\img096.png,,,108.22110939907544,158.7803178979808,101.68149379612352,347.33923444976085,245.55303706106554,339.7096829129837,,,,,,,,,,
labeled-data\lion11_Trim1\img103.png,,,108.22110939907544,159.87025383180605,,,240.10335739193897,336.4398751115077,,,,,,,,,,
labeled-data\lion11_Trim1\img114.png,86.42239072256906,167.49980536858334,138.73931554618434,167.49980536858334,,,242.28322925958958,340.7996188468089,,,,,,,,,,
labeled-data\lion11_Trim1\img116.png,94.05194225934629,167.49980536858334,144.18899521531097,171.85954910388466,,,241.19329332576427,338.6197469791583,,,,,,,,,,
labeled-data\lion11_Trim1\img126.png,121.30034060497927,157.69038196415545,176.88707323007048,155.51051009650485,,,245.55303706106554,340.7996188468089,,,,,,,,,,
labeled-data\lion11_Trim1\img135.png,137.64937961235904,153.33063822885424,193.23611223745024,152.24070229502888,,,244.46310112724024,340.7996188468089,,,,,,,,,,
labeled-data\lion11_Trim1\img144.png,137.64937961235904,153.33063822885424,192.14617630362494,152.24070229502888,,,235.7436136566377,341.8895547806343,,,,,,,,,,
labeled-data\lion11_Trim1\img153.png,134.37957181088308,152.24070229502888,188.87636850214898,150.06083042737828,,,233.56374178898704,334.2600032438571,,,,,,,,,,
labeled-data\lion11_Trim1\img163.png,142.0091233476603,145.70108669207696,199.77572784040217,146.79102262590231,,,240.10335739193897,334.2600032438571,,,,,,,,,,
labeled-data\lion11_Trim1\img169.png,235.7436136566377,183.84884437596315,277.1611791419998,181.66897250831244,,,,,,,,,,,,,120.21040467115394,172.9494850377099
labeled-data\lion11_Trim1\img182.png,246.6429729948909,204.55762711864418,291.3303462817289,200.19788338334286,,,,,,,,,,,,,133.28963587705778,164.22999756710738
labeled-data\lion11_Trim1\img192.png,266.2618198037466,191.47839591274033,307.6793852891087,188.20858811126436,,,,,,,,,,,,,142.0091233476603,165.31993350093273
labeled-data\lion11_Trim1\img195.png,268.4416916713972,182.7589084421378,313.1290649582353,180.5790365744872,,,,,,,,,,,,,148.54873895061223,158.7803178979808
labeled-data\lion11_Trim1\img203.png,,,,,276.07124320817445,302.65186116292284,,,164.897777957992,345.15936258211025,,,,,,,196.5059200389262,289.572629957019
labeled-data\lion11_Trim1\img207.png,,,,,295.69009001703023,288.48269402319374,266.2618198037466,299.3820533614469,182.33675289919705,329.9002595085558,,,127.83995620793117,291.7525018246696,162.71790609034133,300.47198929527224,203.04553564187813,269.9537831481633
labeled-data\lion11_Trim1\img210.png,,,,,300.0498337523315,274.31352688346453,,,200.86566377422747,307.01160489822405,,,142.0091233476603,285.2128862217178,177.9770091638958,279.7632065525911,223.75431838455916,239.4355770010544
labeled-data\lion11_Trim1\img212.png,,,,,272.8014354066985,271.04371908198857,,,221.57444651690855,286.302822155543,,,170.34745762711856,281.9430784202418,198.68579190657687,268.86384721433797,234.65367772281235,224.17647392749996
labeled-data\lion11_Trim1\img213.png,,,,,297.86996188468083,253.6047441407835,,,229.20399805368578,276.49339875111514,,,177.9770091638958,281.9430784202418,200.86566377422747,261.2342956775607,244.46310112724024,211.0972427215961
labeled-data\lion11_Trim1\img215.png,,,,,302.2297056199821,240.52551293487966,,,245.55303706106554,250.33493633930755,,,181.24681696537175,271.04371908198857,206.3153434433541,259.0544238099101,235.7436136566377,207.82743492012014
labeled-data\lion11_Trim1\img216.png,,,,,305.49951342145806,231.80602546427713,,,248.8228448625415,248.15506447165694,,,186.69649663449837,266.68397534668736,215.03483091395663,244.88525667018098,246.6429729948909,201.2878193171682
labeled-data\lion11_Trim1\img217.png,,,,,306.58944935528336,224.17647392749996,,,258.6322682669694,241.61544886870502,,,186.69649663449837,255.7846160084341,218.3046387154326,235.0758332657531,242.28322925958958,194.7482037142163
labeled-data\lion11_Trim1\img218.png,,,,,309.8592571567593,218.72679425837327,,,259.7222042007947,236.16576919957845,,,187.78643256832368,248.15506447165694,213.94489498013132,241.61544886870502,249.9127807963668,184.9387803097884
labeled-data\lion11_Trim1\img219.png,,,,,309.8592571567593,212.18717865542135,,,261.90207606844535,232.8959613981025,,,197.59585597275156,237.2557051334037,221.57444651690855,228.53621766280116,253.18258859784277,183.84884437596315
labeled-data\lion11_Trim1\img221.png,,,,,316.39887275971125,201.2878193171682,,,267.3517557375719,231.80602546427713,,,194.3260481712756,224.17647392749996,224.84425431838451,225.2664098613252,251.00271673019216,184.9387803097884
labeled-data\lion11_Trim1\img225.png,,,,,310.9491930905847,182.7589084421378,,,267.3517557375719,215.4569864568973,,,,,,,258.6322682669694,181.66897250831244
labeled-data\lion11_Trim1\img231.png,,,,,,,,,270.6215635390479,226.35634579515056,,,,,,,259.7222042007947,176.21929283918587
labeled-data\lion11_Trim1\img233.png,,,,,,,,,268.4416916713972,217.63685832454803,,,,,,,251.00271673019216,175.1293569053605
labeled-data\lion11_Trim1\img234.png,,,,,,,,,268.4416916713972,220.906666126024,,,,,,,253.18258859784277,178.39916470683647
